country,year,code,export,import,balance
Georgia,2018,GEO,51900000.0,4059999.9999999995,47840000.0
Rwanda,2018,RWA,48720000.0,641480.0,48078520.0
Burkina Faso,2018,BFA,47090000.0,21020.0,47068980.0
Malawi,2018,MWI,46640000.0,1750000.0,44890000.0
Ivory Coast,2018,CIV,41730000.0,675710.0,41054290.0
Madagascar,2018,MDG,40890000.0,6310000.0,34580000.0
Mongolia,2018,MNG,40730000.0,1510000.0,39220000.0
Bolivia,2018,BOL,38670000.0,3920000.0,34750000.0
Congo,2018,COG,38590000.0,847740.0,37742260.0
Zimbabwe,2018,ZWE,35000000.0,34120000.0,880000.0
Iceland,2018,ISL,33130000.000000004,3530000.0,29600000.000000004
Cyprus,2018,CYP,32960000.0,19330000.0,13630000.0
Mozambique,2018,MOZ,31630000.0,9420000.0,22210000.0
Angola,2018,AGO,31210000.0,37070000.0,-5860000.0
Botswana,2018,BWA,29970000.0,341360000.0,-311390000.0
Armenia,2018,ARM,28100000.0,411650.0,27688350.0
Papua New Guinea,2018,PNG,26890000.0,52530000.0,-25640000.0
Republic of the Congo,2018,COD,26820000.0,3180000.0,23640000.0
Uzbekistan,2018,UZB,25810000.0,1430000.0,24380000.0
Moldova,2018,MDA,25470000.0,8720000.0,16750000.0
Laos,2018,LAO,25440000.0,9240000.0,16200000.0
Fiji,2018,FJI,25220000.0,2690000.0,22530000.0
Guinea,2018,GIN,24840000.0,3300000.0,21540000.0
Haiti,2018,HTI,23630000.0,3350000.0,20280000.0
Maldives,2018,MDV,22310000.0,5930000.0,16380000.0
Mali,2018,MLI,22290000.0,583920.0,21706080.0
Libya,2018,LBY,20820000.0,8710.0,20811290.0
Venezuela,2018,VEN,20180000.0,17930000.0,2250000.0
Kyrgyzstan,2018,KGZ,19610000.0,495880.0,19114120.0
Macedonia,2018,MKD,19030000.0,1330000.0,17700000.0
Brunei,2018,BRN,18410000.0,6490000.0,11920000.0
Malta,2018,MLT,18360000.0,213600000.0,-195240000.0
Trinidad And Tobago,2018,TTO,17510000.0,970890.0,16539110.0
Uganda,2018,UGA,16870000.0,80050000.0,-63180000.0
Bosnia And Herzegovina,2018,BIH,16500000.0,308640.0,16191360.0
Namibia,2018,NAM,16230000.0,52900000.0,-36670000.0
Gabon,2018,GAB,16120000.000000002,2020000.0,14100000.000000002
Chad,2018,TCD,13880000.0,24300.0,13855700.0
Albania,2018,ALB,12420000.0,522809.99999999994,11897190.0
Benin,2018,BEN,11570000.0,862600.0,10707400.0
Lesotho,2018,LSO,10640000.0,13130.0,10626870.0
Solomon Islands,2018,SLB,10140000.0,2750000.0,7390000.0
Jamaica,2018,JAM,8520000.0,3620000.0,4900000.0
Sierra Leone,2018,SLE,8320000.0,467280.0,7852720.0
Niger,2018,NER,6190000.0,27660.0,6162340.0
Montenegro,2018,MNE,5630000.0,3020000.0,2610000.0
Sudan,2018,SDN,5600000.0,713370.0,4886630.0
Suriname,2018,SUR,5330000.0,225450000.0,-220120000.0
Liberia,2018,LBR,5170000.0,856920.0,4313080.0
Somalia,2018,SOM,5140000.0,556800.0,4583200.0
Vanuatu,2018,VUT,5130000.0,1510000.0,3620000.0
Djibouti,2018,DJI,4590000.0,1650000.0,2940000.0
Cuba,2018,CUB,4030000.0000000005,52700000.0,-48670000.0
Burundi,2018,BDI,3940000.0,10960.0,3929040.0
Seychelles,2018,SYC,3740000.0,2500000.0,1240000.0
Samoa,2018,WSM,2920000.0,25330.0,2894670.0
Afghanistan,2018,AFG,2880000.0,175350.0,2704650.0
Comoros,2018,COM,2730000.0,15020.0,2714980.0
Turkmenistan,2018,TKM,2700000.0,148590.0,2551410.0
Swaziland,2018,SWZ,2570000.0,335150.0,2234850.0
Aruba,2018,ABW,2410000.0,387160.0,2022840.0
Equatorial Guinea,2018,GNQ,2380000.0,3000.0,2377000.0
Bahamas,2018,BHS,2370000.0,573130.0,1796870.0
FS Micronesia,2018,FSM,2370000.0,194560.0,2175440.0
Guinea Bissau,2018,GNB,2320000.0,2550.0,2317450.0
Mauritania,2018,MRT,1850000.0,3090000.0,-1240000.0
Syria,2018,SYR,1690000.0,53490.0,1636510.0
Gambia,2018,GMB,1660000.0,137520.0,1522480.0
North Korea,2018,PRK,1600000.0,1.0,1599999.0
Gibraltar,2018,GIB,1590000.0,129539.99999999999,1460460.0
South Sudan,2018,SSD,1540000.0,60840.0,1479160.0
Bhutan,2018,BTN,1450000.0,68520.0,1381480.0
Barbados,2018,BRB,1440000.0,10770000.0,-9330000.0
Guyana,2018,GUY,1400000.0,23610000.0,-22210000.0
Cape Verde,2018,CPV,1400000.0,545360.0,854640.0
Tajikistan,2018,TJK,1250000.0,3620.0,1246380.0
American Samoa,2018,ASM,1210000.0,355950.0,854050.0
Belize,2018,BLZ,1070000.0,819710.0,250290.0
Central African Republic,2018,CAF,963550.0,248870.0,714680.0
San Marino,2018,SMR,951200.0,101180.0,850020.0
Andorra,2018,AND,861490.0,221120.0,640370.0
Kiribati,2018,KIR,846480.0,137640.0,708840.0
Sao Tome And Principe,2018,STP,819480.0,,
Tonga,2018,TON,782210.0,23680.0,758530.0
Yemen,2018,YEM,574150.0,12870000.0,-12295850.0
Marshall Islands,2018,MHL,519860.0,125670.0,394190.0
Nauru,2018,NRU,409680.0,73.0,409607.0
Grenada,2018,GRD,222340.0,298.0,222042.0
Tuvalu,2018,TUV,116690.0,,
Vatican City State,2018,VAT,88150.0,2320.0,85830.0
Tokelau,2018,TKL,18280.0,182000.0,-163720.0
United States Minor Outlying Islands,2018,UMI,15450.0,1280.0,14170.0
Greenland,2018,GRL,2590.0,,
