country,export,year,code,log(export)
Republic of the Congo,26820000.0,2018,COD,7.4284587735155805
Uzbekistan,25810000.0,2018,UZB,7.411788004543869
Moldova,25470000.0,2018,MDA,7.406028944963615
Laos,25440000.0,2018,LAO,7.405517106976376
Fiji,25220000.0,2018,FJI,7.4017450822370625
Guinea,24840000.0,2018,GIN,7.3951515915045425
Haiti,23630000.0,2018,HTI,7.373463721632369
"Oceania, nes",22730000.0,2018,,7.356599435724971
Maldives,22310000.0,2018,MDV,7.348499570283837
Mali,22290000.0,2018,MLI,7.348110068480238
Libya,20820000.0,2018,LBY,7.318480725174517
Venezuela,20180000.0,2018,VEN,7.304921161900892
Kyrgyzstan,19610000.0,2018,KGZ,7.292477593667784
Macedonia,19030000.0,2018,MKD,7.27943878828702
Brunei,18410000.0,2018,BRN,7.265053788504015
Malta,18360000.0,2018,MLT,7.2638726768652235
Trinidad And Tobago,17510000.0,2018,TTO,7.243286146083446
Uganda,16870000.0,2018,UGA,7.227115082589125
Bosnia And Herzegovina,16500000.0,2018,BIH,7.217483944213907
Namibia,16230000.0,2018,NAM,7.210318519826232
Gabon,16120000.000000002,2018,GAB,7.207365037469072
Chad,13880000.0,2018,TCD,7.1423894661188365
Albania,12420000.0,2018,ALB,7.094121595840561
Benin,11570000.0,2018,BEN,7.063333358951749
Lesotho,10640000.0,2018,LSO,7.0269416279590295
Solomon Islands,10140000.0,2018,SLB,7.006037954997317
Jamaica,8520000.0,2018,JAM,6.9304395947667
Sierra Leone,8320000.0,2018,SLE,6.920123326290724
Niger,6190000.0,2018,NER,6.791690649020118
Montenegro,5630000.0,2018,MNE,6.750508394851346
Sudan,5600000.0,2018,SDN,6.748188027006201
Suriname,5330000.0,2018,SUR,6.726727209026572
Liberia,5170000.0,2018,LBR,6.713490543093942
Somalia,5140000.0,2018,SOM,6.710963118995275
Vanuatu,5130000.0,2018,VUT,6.710117365111817
Djibouti,4590000.0,2018,DJI,6.661812685537261
Cuba,4030000.0000000005,2018,CUB,6.605305046141109
Burundi,3940000.0,2018,BDI,6.595496221825574
Seychelles,3740000.0,2018,SYC,6.57287160220048
Samoa,2920000.0,2018,WSM,6.465382851448418
Afghanistan,2880000.0,2018,AFG,6.459392487759231
Comoros,2730000.0,2018,COM,6.4361626470407565
Turkmenistan,2700000.0,2018,TKM,6.431363764158987
Swaziland,2570000.0,2018,SWZ,6.409933123331294
Aruba,2410000.0,2018,ABW,6.382017042574868
Equatorial Guinea,2380000.0,2018,GNQ,6.376576957056512
Bahamas,2370000.0,2018,BHS,6.3747483460101035
FS Micronesia,2370000.0,2018,FSM,6.3747483460101035
Guinea Bissau,2320000.0,2018,GNB,6.365487984890899
Mauritania,1850000.0,2018,MRT,6.267171728403014
Syria,1690000.0,2018,SYR,6.227886704613674
Gambia,1660000.0,2018,GMB,6.220108088040055
North Korea,1600000.0,2018,PRK,6.204119982655925
Gibraltar,1590000.0,2018,GIB,6.201397124320452
South Sudan,1540000.0,2018,SSD,6.187520720836463
Bhutan,1450000.0,2018,BTN,6.161368002234975
Barbados,1440000.0,2018,BRB,6.158362492095249
Guyana,1400000.0,2018,GUY,6.146128035678238
Cape Verde,1400000.0,2018,CPV,6.146128035678238
Tajikistan,1250000.0,2018,TJK,6.096910013008056
American Samoa,1210000.0,2018,ASM,6.08278537031645
Belize,1070000.0,2018,BLZ,6.02938377768521
Central African Republic,963550.0,2018,CAF,5.983874255743606
San Marino,951200.0,2018,SMR,5.978271841610635
Andorra,861490.0,2018,AND,5.935250240611644
Kiribati,846480.0,2018,KIR,5.927616701379096
Sao Tome And Principe,819480.0,2018,STP,5.91353835876603
Tonga,782210.0,2018,TON,5.893323363798492
Yemen,574150.0,2018,YEM,5.759025369160864
Marshall Islands,519860.0,2018,MHL,5.715886402454576
"Other Africa, nes",448440.0,2018,,5.651704343897262
Nauru,409680.0,2018,NRU,5.61244476282634
"Other Europe, nes",391500.0,2018,,5.592731766393962
Grenada,222340.0,2018,GRD,5.347017601324949
Tuvalu,116690.0,2018,TUV,5.067033639842262
Vatican City State,88150.0,2018,VAT,4.94522231663534
Tokelau,18280.0,2018,TKL,4.261976191397813
United States Minor Outlying Islands,15450.0,2018,UMI,4.188928483760853
Greenland,2590.0,2018,GRL,3.413299764081252
"America, nes",1660.0,2018,,3.220108088040055
