country,value,year,code,log(value)
Haiti,3350000.0,2018,HTI,6.525044807036846
Guinea,3300000.0,2018,GIN,6.518513939877887
Republic of the Congo,3180000.0,2018,COD,6.502427119984433
Mauritania,3090000.0,2018,MRT,6.489958479424835
Montenegro,3020000.0,2018,MNE,6.480006942957151
Solomon Islands,2750000.0,2018,SLB,6.439332693830263
Fiji,2690000.0,2018,FJI,6.429752280002408
Algeria,2650000.0,2018,DZA,6.423245873936808
Seychelles,2500000.0,2018,SYC,6.3979400086720375
Iraq,2320000.0,2018,IRQ,6.365487984890899
Nepal,2270000.0,2018,NPL,6.3560258571931225
Gabon,2020000.0,2018,GAB,6.305351369446623
Kazakhstan,1810000.0,2018,KAZ,6.2576785748691846
Malawi,1750000.0,2018,MWI,6.243038048686294
Djibouti,1650000.0,2018,DJI,6.217483944213907
Vanuatu,1510000.0,2018,VUT,6.17897694729317
Mongolia,1510000.0,2018,MNG,6.17897694729317
Uzbekistan,1430000.0,2018,UZB,6.155336037465061
Macedonia,1330000.0,2018,MKD,6.123851640967086
Cameroon,1290000.0,2018,CMR,6.110589710299249
Trinidad And Tobago,970890.0,2018,TTO,5.987170027952116
Azerbaijan,936360.0,2018,AZE,5.97144285296316
Benin,862600.0,2018,BEN,5.935809453809933
Liberia,856920.0,2018,LBR,5.932940279122394
Congo,847740.0,2018,COG,5.928262675512426
Belize,819710.0,2018,BLZ,5.913660233266842
Sudan,713370.0,2018,SDN,5.8533148416039475
Ivory Coast,675710.0,2018,CIV,5.829760346204363
Rwanda,641480.0,2018,RWA,5.807183120531617
Mali,583920.0,2018,MLI,5.766353350642424
Bahamas,573130.0,2018,BHS,5.758253141826201
Somalia,556800.0,2018,SOM,5.745699226602506
Cape Verde,545360.0,2018,CPV,5.7366832809904
Albania,522809.99999999994,2018,ALB,5.718343885915553
Kyrgyzstan,495880.0,2018,KGZ,5.695376592532294
Sierra Leone,467280.0,2018,SLE,5.669577193231637
Armenia,411650.0,2018,ARM,5.614528119747539
Aruba,387160.0,2018,ABW,5.587890481186355
American Samoa,355950.0,2018,ASM,5.55138899727302
Swaziland,335150.0,2018,SWZ,5.525239223729745
Bosnia And Herzegovina,308640.0,2018,BIH,5.48945221029981
Central African Republic,248870.0,2018,CAF,5.395972547794993
Andorra,221120.0,2018,AND,5.344628025694105
FS Micronesia,194560.0,2018,FSM,5.2890535575926405
Tokelau,182000.0,2018,TKL,5.260071387985075
Afghanistan,175350.0,2018,AFG,5.243905770217522
Turkmenistan,148590.0,2018,TKM,5.1719895827021185
Kiribati,137640.0,2018,KIR,5.138744663948892
Gambia,137520.0,2018,GMB,5.138365863678996
Gibraltar,129539.99999999999,2018,GIB,5.112403892717874
Marshall Islands,125670.0,2018,MHL,5.099231615080882
Northern Mariana Islands,102880.0,2018,MNP,5.012330955580147
San Marino,101180.0,2018,SMR,5.005094675072549
"Other Europe, nes",91170.0,2018,,4.959851954799605
Bhutan,68520.0,2018,BTN,4.835817354293473
South Sudan,60840.0,2018,SSD,4.784189205380961
Syria,53490.0,2018,SYR,4.728272597895017
Niger,27660.0,2018,NER,4.441852175773292
Samoa,25330.0,2018,WSM,4.403635189790548
Chad,24300.0,2018,TCD,4.385606273598312
Tonga,23680.0,2018,TON,4.3743816980508825
Burkina Faso,21020.0,2018,BFA,4.322632711692224
"America, nes",18790.0,2018,,4.273926780100526
Comoros,15020.0,2018,COM,4.176669932668149
Lesotho,13130.0,2018,LSO,4.118264726089479
Burundi,10960.0,2018,BDI,4.03981055414835
"Other Africa, nes",10160.0,2018,,4.0068937079479
Libya,8710.0,2018,LBY,3.9400181550076634
Tajikistan,3620.0,2018,TJK,3.558708570533166
Equatorial Guinea,3000.0,2018,GNQ,3.4771212547196626
Guinea Bissau,2550.0,2018,GNB,3.406540180433955
Vatican City State,2320.0,2018,VAT,3.3654879848909
United States Minor Outlying Islands,1280.0,2018,UMI,3.1072099696478683
Grenada,298,2018,GRD,2.4742162640762553
Nauru,73,2018,NRU,1.863322860120456
North Korea,1,2018,PRK,0.0
